,Calculation1,School,City,County/State/ Territory,Count,Gender,Pivot Field Values
48,ACADEMY OF THE REDWOODS54135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,App,All,8
49,ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,Female,8
50,ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,Female,48
51,ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,All,8
52,ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,All,48
53,ACADEMY-SAN FRAN @ MCATEER54439,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,App,Female,6
54,ACADEMY-SAN FRAN @ MCATEER54439,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,App,All,9
55,ACALANES HIGH SCHOOL51315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Enr,Male,5
56,ACALANES HIGH SCHOOL51315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Adm,Male,5
57,ACALANES HIGH SCHOOL51315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,App,Male,36
58,ACALANES HIGH SCHOOL51315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Adm,Female,5
59,ACALANES HIGH SCHOOL51315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,App,Female,44
60,ACALANES HIGH SCHOOL51315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Enr,All,7
61,ACALANES HIGH SCHOOL51315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Adm,All,10
62,ACALANES HIGH SCHOOL51315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,App,All,80
63,ACE CHARTER HIGH SCHOOL54660,ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,App,All,6
64,ACS JAKARTA672107,ACS JAKARTA,,,App,Male,8
65,ACS JAKARTA672107,ACS JAKARTA,,,App,All,11
66,ACTON-BOXBOROUGH REGIONAL HS222297,ACTON-BOXBOROUGH REGIONAL HS,Acton,MA,Adm,Male,3
67,ACTON-BOXBOROUGH REGIONAL HS222297,ACTON-BOXBOROUGH REGIONAL HS,Acton,MA,App,Male,17
68,ACTON-BOXBOROUGH REGIONAL HS222297,ACTON-BOXBOROUGH REGIONAL HS,Acton,MA,App,Female,9
69,ACTON-BOXBOROUGH REGIONAL HS222297,ACTON-BOXBOROUGH REGIONAL HS,Acton,MA,Adm,All,4
70,ACTON-BOXBOROUGH REGIONAL HS222297,ACTON-BOXBOROUGH REGIONAL HS,Acton,MA,App,All,26
71,ADELANTO HIGH SCHOOL54672,ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,App,Female,7
72,ADELANTO HIGH SCHOOL54672,ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,App,All,10
73,ADLAI E STEVENSON HIGH SCHOOL143550,ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,IL,Enr,Male,4
74,ADLAI E STEVENSON HIGH SCHOOL143550,ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,IL,Adm,Male,8
75,ADLAI E STEVENSON HIGH SCHOOL143550,ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,IL,App,Male,47
76,ADLAI E STEVENSON HIGH SCHOOL143550,ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,IL,Adm,Female,3
77,ADLAI E STEVENSON HIGH SCHOOL143550,ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,IL,App,Female,29
78,ADLAI E STEVENSON HIGH SCHOOL143550,ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,IL,Enr,All,4
79,ADLAI E STEVENSON HIGH SCHOOL143550,ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,IL,Adm,All,11
80,ADLAI E STEVENSON HIGH SCHOOL143550,ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,IL,App,All,76
81,ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,Adm,Male,4
82,ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,App,Male,26
83,ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,Adm,Female,4
84,ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,App,Female,21
85,ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,Enr,All,3
86,ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,Adm,All,8
87,ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,App,All,47
