,Calculation1,School,City,County/State/ Territory,Count,Gender,Pivot Field Values
1903,DOON SCHOOL671616,DOON SCHOOL,,,Enr,Male,3
1904,DOON SCHOOL671616,DOON SCHOOL,,,Adm,Male,5
1905,DOON SCHOOL671616,DOON SCHOOL,,,App,Male,24
1906,DOON SCHOOL671616,DOON SCHOOL,,,Enr,All,3
1907,DOON SCHOOL671616,DOON SCHOOL,,,Adm,All,5
1908,DOON SCHOOL671616,DOON SCHOOL,,,App,All,24
1909,DOS PUEBLOS HIGH SCHOOL53252,DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,Enr,Male,4
1910,DOS PUEBLOS HIGH SCHOOL53252,DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,Adm,Male,8
1911,DOS PUEBLOS HIGH SCHOOL53252,DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,App,Male,42
1912,DOS PUEBLOS HIGH SCHOOL53252,DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,Enr,Female,8
1913,DOS PUEBLOS HIGH SCHOOL53252,DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,Adm,Female,12
1914,DOS PUEBLOS HIGH SCHOOL53252,DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,App,Female,46
1915,DOS PUEBLOS HIGH SCHOOL53252,DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,Enr,All,13
1916,DOS PUEBLOS HIGH SCHOOL53252,DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,Adm,All,22
1917,DOS PUEBLOS HIGH SCHOOL53252,DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,App,All,91
1918,DOUGHERTY VALLEY HIGH SCHOOL53218,DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,Enr,Male,26
1919,DOUGHERTY VALLEY HIGH SCHOOL53218,DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,Adm,Male,38
1920,DOUGHERTY VALLEY HIGH SCHOOL53218,DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,App,Male,175
1921,DOUGHERTY VALLEY HIGH SCHOOL53218,DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,Enr,Female,30
1922,DOUGHERTY VALLEY HIGH SCHOOL53218,DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,Adm,Female,51
1923,DOUGHERTY VALLEY HIGH SCHOOL53218,DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,App,Female,206
1924,DOUGHERTY VALLEY HIGH SCHOOL53218,DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,Enr,All,56
1925,DOUGHERTY VALLEY HIGH SCHOOL53218,DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,Adm,All,90
1926,DOUGHERTY VALLEY HIGH SCHOOL53218,DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,App,All,384
1927,DOWNEY HIGH SCHOOL50770,DOWNEY HIGH SCHOOL,Downey,Los Angeles,App,Male,28
1928,DOWNEY HIGH SCHOOL50770,DOWNEY HIGH SCHOOL,Downey,Los Angeles,App,Female,38
1929,DOWNEY HIGH SCHOOL50770,DOWNEY HIGH SCHOOL,Downey,Los Angeles,Adm,All,3
1930,DOWNEY HIGH SCHOOL50770,DOWNEY HIGH SCHOOL,Downey,Los Angeles,App,All,66
1931,DOWNTOWN MAGNETS HIGH SCHOOL51576,DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,Adm,Male,4
1932,DOWNTOWN MAGNETS HIGH SCHOOL51576,DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,App,Male,19
1933,DOWNTOWN MAGNETS HIGH SCHOOL51576,DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,Enr,Female,4
1934,DOWNTOWN MAGNETS HIGH SCHOOL51576,DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,Adm,Female,5
1935,DOWNTOWN MAGNETS HIGH SCHOOL51576,DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,App,Female,18
1936,DOWNTOWN MAGNETS HIGH SCHOOL51576,DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,Enr,All,5
1937,DOWNTOWN MAGNETS HIGH SCHOOL51576,DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,Adm,All,9
1938,DOWNTOWN MAGNETS HIGH SCHOOL51576,DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,App,All,37
1939,DOZIER-LIBBEY MEDICAL HIGH SCH54355,DOZIER-LIBBEY MEDICAL HIGH SCH,Antioch,Contra Costa,App,Male,6
1940,DOZIER-LIBBEY MEDICAL HIGH SCH54355,DOZIER-LIBBEY MEDICAL HIGH SCH,Antioch,Contra Costa,Adm,All,4
1941,DOZIER-LIBBEY MEDICAL HIGH SCH54355,DOZIER-LIBBEY MEDICAL HIGH SCH,Antioch,Contra Costa,App,All,10
1942,DR MAYA ANGELOU COMMUNITY HS54547,DR MAYA ANGELOU COMMUNITY HS,Los Angeles,Los Angeles,App,Male,5
1943,DR MAYA ANGELOU COMMUNITY HS54547,DR MAYA ANGELOU COMMUNITY HS,Los Angeles,Los Angeles,App,Female,5
1944,DR MAYA ANGELOU COMMUNITY HS54547,DR MAYA ANGELOU COMMUNITY HS,Los Angeles,Los Angeles,App,All,10
1945,DR TJ OWENS GILROY EARLY COLG51228,DR TJ OWENS GILROY EARLY COLG,Gilroy,Santa Clara,App,Male,10
1946,DR TJ OWENS GILROY EARLY COLG51228,DR TJ OWENS GILROY EARLY COLG,Gilroy,Santa Clara,App,Female,14
1947,DR TJ OWENS GILROY EARLY COLG51228,DR TJ OWENS GILROY EARLY COLG,Gilroy,Santa Clara,Enr,All,3
1948,DR TJ OWENS GILROY EARLY COLG51228,DR TJ OWENS GILROY EARLY COLG,Gilroy,Santa Clara,Adm,All,3
1949,DR TJ OWENS GILROY EARLY COLG51228,DR TJ OWENS GILROY EARLY COLG,Gilroy,Santa Clara,App,All,24
1950,DUBAI AMERICAN ACADEMY697012,DUBAI AMERICAN ACADEMY,,,App,Male,16
1951,DUBAI AMERICAN ACADEMY697012,DUBAI AMERICAN ACADEMY,,,App,Female,6
1952,DUBAI AMERICAN ACADEMY697012,DUBAI AMERICAN ACADEMY,,,App,All,22
1953,DUBAI COLLEGE697009,DUBAI COLLEGE,,,App,Male,8
1954,DUBAI COLLEGE697009,DUBAI COLLEGE,,,Adm,All,3
1955,DUBAI COLLEGE697009,DUBAI COLLEGE,,,App,All,12
1956,DUBLIN COFFMAN HIGH SCHOOL361995,DUBLIN COFFMAN HIGH SCHOOL,Dublin,OH,App,Female,7
1957,DUBLIN COFFMAN HIGH SCHOOL361995,DUBLIN COFFMAN HIGH SCHOOL,Dublin,OH,Adm,All,3
1958,DUBLIN COFFMAN HIGH SCHOOL361995,DUBLIN COFFMAN HIGH SCHOOL,Dublin,OH,App,All,10
1959,DUBLIN HIGH SCHOOL50784,DUBLIN HIGH SCHOOL,Dublin,Alameda,Enr,Male,10
1960,DUBLIN HIGH SCHOOL50784,DUBLIN HIGH SCHOOL,Dublin,Alameda,Adm,Male,14
1961,DUBLIN HIGH SCHOOL50784,DUBLIN HIGH SCHOOL,Dublin,Alameda,App,Male,90
1962,DUBLIN HIGH SCHOOL50784,DUBLIN HIGH SCHOOL,Dublin,Alameda,Enr,Female,12
1963,DUBLIN HIGH SCHOOL50784,DUBLIN HIGH SCHOOL,Dublin,Alameda,Adm,Female,21
1964,DUBLIN HIGH SCHOOL50784,DUBLIN HIGH SCHOOL,Dublin,Alameda,App,Female,102
1965,DUBLIN HIGH SCHOOL50784,DUBLIN HIGH SCHOOL,Dublin,Alameda,Enr,All,22
1966,DUBLIN HIGH SCHOOL50784,DUBLIN HIGH SCHOOL,Dublin,Alameda,Adm,All,35
1967,DUBLIN HIGH SCHOOL50784,DUBLIN HIGH SCHOOL,Dublin,Alameda,App,All,192
1968,DUBLIN JEROME HIGH SCHOOL365076,DUBLIN JEROME HIGH SCHOOL,Dublin,OH,App,Male,7
1969,DUBLIN JEROME HIGH SCHOOL365076,DUBLIN JEROME HIGH SCHOOL,Dublin,OH,App,Female,9
1970,DUBLIN JEROME HIGH SCHOOL365076,DUBLIN JEROME HIGH SCHOOL,Dublin,OH,Adm,All,3
1971,DUBLIN JEROME HIGH SCHOOL365076,DUBLIN JEROME HIGH SCHOOL,Dublin,OH,App,All,16
1972,DULLES HIGH SCHOOL446785,DULLES HIGH SCHOOL,Sugar Land,TX,App,Male,15
1973,DULLES HIGH SCHOOL446785,DULLES HIGH SCHOOL,Sugar Land,TX,App,Female,7
1974,DULLES HIGH SCHOOL446785,DULLES HIGH SCHOOL,Sugar Land,TX,Adm,All,4
1975,DULLES HIGH SCHOOL446785,DULLES HIGH SCHOOL,Sugar Land,TX,App,All,23
1976,DULWICH COLLEGE SEOUL682394,DULWICH COLLEGE SEOUL,,,App,Male,5
1977,DULWICH COLLEGE SEOUL682394,DULWICH COLLEGE SEOUL,,,App,All,8
1978,DUNMAN HIGH SCHOOL687197,DUNMAN HIGH SCHOOL,,,App,Male,5
1979,DUNMAN HIGH SCHOOL687197,DUNMAN HIGH SCHOOL,,,App,Female,12
1980,DUNMAN HIGH SCHOOL687197,DUNMAN HIGH SCHOOL,,,App,All,17
1981,DUNN SCHOOL51863,DUNN SCHOOL,Los Olivos,Santa Barbara,App,All,8
1982,DWIGHT-ENGLEWOOD SCHOOL310355,DWIGHT-ENGLEWOOD SCHOOL,Englewood,NJ,App,Male,8
1983,DWIGHT-ENGLEWOOD SCHOOL310355,DWIGHT-ENGLEWOOD SCHOOL,Englewood,NJ,App,Female,8
1984,DWIGHT-ENGLEWOOD SCHOOL310355,DWIGHT-ENGLEWOOD SCHOOL,Englewood,NJ,Adm,All,3
1985,DWIGHT-ENGLEWOOD SCHOOL310355,DWIGHT-ENGLEWOOD SCHOOL,Englewood,NJ,App,All,16
1986,EAGLE ROCK HIGH SCHOOL51580,EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,Enr,Male,3
1987,EAGLE ROCK HIGH SCHOOL51580,EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,Adm,Male,7
1988,EAGLE ROCK HIGH SCHOOL51580,EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,App,Male,30
1989,EAGLE ROCK HIGH SCHOOL51580,EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,Adm,Female,5
1990,EAGLE ROCK HIGH SCHOOL51580,EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,App,Female,32
1991,EAGLE ROCK HIGH SCHOOL51580,EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,Enr,All,4
1992,EAGLE ROCK HIGH SCHOOL51580,EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,Adm,All,12
1993,EAGLE ROCK HIGH SCHOOL51580,EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,App,All,62
1994,EARLY COLLEGE HIGH SCHOOL50404,EARLY COLLEGE HIGH SCHOOL,Costa Mesa,Orange,App,All,7
1995,EAST BRUNSWICK HIGH SCHOOL310283,EAST BRUNSWICK HIGH SCHOOL,East Brunswick,NJ,App,Male,15
1996,EAST BRUNSWICK HIGH SCHOOL310283,EAST BRUNSWICK HIGH SCHOOL,East Brunswick,NJ,App,Female,9
1997,EAST BRUNSWICK HIGH SCHOOL310283,EAST BRUNSWICK HIGH SCHOOL,East Brunswick,NJ,Adm,All,4
1998,EAST BRUNSWICK HIGH SCHOOL310283,EAST BRUNSWICK HIGH SCHOOL,East Brunswick,NJ,App,All,24
1999,EAST CHAPEL HILL HIGH SCHOOL340646,EAST CHAPEL HILL HIGH SCHOOL,Chapel Hill,NC,App,Male,11
2000,EAST CHAPEL HILL HIGH SCHOOL340646,EAST CHAPEL HILL HIGH SCHOOL,Chapel Hill,NC,Adm,Female,4
2001,EAST CHAPEL HILL HIGH SCHOOL340646,EAST CHAPEL HILL HIGH SCHOOL,Chapel Hill,NC,App,Female,9
2002,EAST CHAPEL HILL HIGH SCHOOL340646,EAST CHAPEL HILL HIGH SCHOOL,Chapel Hill,NC,Adm,All,5
2003,EAST CHAPEL HILL HIGH SCHOOL340646,EAST CHAPEL HILL HIGH SCHOOL,Chapel Hill,NC,App,All,20
2004,EAST COLLEGE PREP50338,EAST COLLEGE PREP,Los Angeles,Los Angeles,App,Male,6
2005,EAST COLLEGE PREP50338,EAST COLLEGE PREP,Los Angeles,Los Angeles,App,Female,14
2006,EAST COLLEGE PREP50338,EAST COLLEGE PREP,Los Angeles,Los Angeles,App,All,20
2007,EAST HIGH SCHOOL60400,EAST HIGH SCHOOL,Denver,CO,Adm,Male,6
2008,EAST HIGH SCHOOL60400,EAST HIGH SCHOOL,Denver,CO,App,Male,14
2009,EAST HIGH SCHOOL60400,EAST HIGH SCHOOL,Denver,CO,App,Female,14
2010,EAST HIGH SCHOOL60400,EAST HIGH SCHOOL,Denver,CO,Adm,All,7
2011,EAST HIGH SCHOOL60400,EAST HIGH SCHOOL,Denver,CO,App,All,29
2012,EAST PALO ALTO PHOENIX ACAD54257,EAST PALO ALTO PHOENIX ACAD,East Palo Alto,San Mateo,App,Male,7
2013,EAST PALO ALTO PHOENIX ACAD54257,EAST PALO ALTO PHOENIX ACAD,East Palo Alto,San Mateo,App,All,11
2014,EAST RIDGE HIGH SCHOOL242738,EAST RIDGE HIGH SCHOOL,Woodbury,MN,Adm,All,3
2015,EAST RIDGE HIGH SCHOOL242738,EAST RIDGE HIGH SCHOOL,Woodbury,MN,App,All,10
2016,EAST UNION HIGH SCHOOL51899,EAST UNION HIGH SCHOOL,Manteca,San Joaquin,App,Male,13
2017,EAST UNION HIGH SCHOOL51899,EAST UNION HIGH SCHOOL,Manteca,San Joaquin,App,Female,8
2018,EAST UNION HIGH SCHOOL51899,EAST UNION HIGH SCHOOL,Manteca,San Joaquin,App,All,21
2019,EASTERN REGIONAL HIGH SCHOOL310417,EASTERN REGIONAL HIGH SCHOOL,Voorhees,NJ,App,Female,5
2020,EASTERN REGIONAL HIGH SCHOOL310417,EASTERN REGIONAL HIGH SCHOOL,Voorhees,NJ,App,All,8
2021,EASTLAKE HIGH SCHOOL50579,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,Enr,Male,3
2022,EASTLAKE HIGH SCHOOL50579,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,Adm,Male,4
2023,EASTLAKE HIGH SCHOOL50579,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,App,Male,37
2024,EASTLAKE HIGH SCHOOL50579,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,Enr,Female,6
2025,EASTLAKE HIGH SCHOOL50579,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,Adm,Female,10
2026,EASTLAKE HIGH SCHOOL50579,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,App,Female,45
2027,EASTLAKE HIGH SCHOOL50579,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,Enr,All,9
2028,EASTLAKE HIGH SCHOOL50579,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,Adm,All,14
2029,EASTLAKE HIGH SCHOOL50579,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,App,All,82
2030,EASTSIDE HIGH SCHOOL54060,EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,App,Male,9
2031,EASTSIDE HIGH SCHOOL54060,EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,Enr,Female,3
2032,EASTSIDE HIGH SCHOOL54060,EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,Adm,Female,4
2033,EASTSIDE HIGH SCHOOL54060,EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,App,Female,17
2034,EASTSIDE HIGH SCHOOL54060,EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,Enr,All,4
2035,EASTSIDE HIGH SCHOOL54060,EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,Adm,All,6
2036,EASTSIDE HIGH SCHOOL54060,EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,App,All,26
2037,EASTVIEW HIGH SCHOOL242123,EASTVIEW HIGH SCHOOL,Apple Valley,MN,App,Male,5
2038,EASTVIEW HIGH SCHOOL242123,EASTVIEW HIGH SCHOOL,Apple Valley,MN,App,All,9
2039,EAU CLAIRE MEMORIAL HS500575,EAU CLAIRE MEMORIAL HS,Eau Claire,WI,App,All,5
2040,ECOLE MOSCROP SECONDARY SCHOOL821037,ECOLE MOSCROP SECONDARY SCHOOL,,,App,Male,5
2041,ECOLE MOSCROP SECONDARY SCHOOL821037,ECOLE MOSCROP SECONDARY SCHOOL,,,App,All,8
2042,ED W CLARK HIGH SCHOOL290097,ED W CLARK HIGH SCHOOL,Las Vegas,NV,Adm,Male,5
2043,ED W CLARK HIGH SCHOOL290097,ED W CLARK HIGH SCHOOL,Las Vegas,NV,App,Male,18
2044,ED W CLARK HIGH SCHOOL290097,ED W CLARK HIGH SCHOOL,Las Vegas,NV,Adm,Female,5
2045,ED W CLARK HIGH SCHOOL290097,ED W CLARK HIGH SCHOOL,Las Vegas,NV,App,Female,15
2046,ED W CLARK HIGH SCHOOL290097,ED W CLARK HIGH SCHOOL,Las Vegas,NV,Adm,All,10
2047,ED W CLARK HIGH SCHOOL290097,ED W CLARK HIGH SCHOOL,Las Vegas,NV,App,All,34
2048,EDEN PRAIRIE HIGH SCHOOL241150,EDEN PRAIRIE HIGH SCHOOL,Eden Prairie,MN,App,Male,6
2049,EDEN PRAIRIE HIGH SCHOOL241150,EDEN PRAIRIE HIGH SCHOOL,Eden Prairie,MN,Enr,Female,4
2050,EDEN PRAIRIE HIGH SCHOOL241150,EDEN PRAIRIE HIGH SCHOOL,Eden Prairie,MN,Adm,Female,5
2051,EDEN PRAIRIE HIGH SCHOOL241150,EDEN PRAIRIE HIGH SCHOOL,Eden Prairie,MN,App,Female,13
2052,EDEN PRAIRIE HIGH SCHOOL241150,EDEN PRAIRIE HIGH SCHOOL,Eden Prairie,MN,Enr,All,4
2053,EDEN PRAIRIE HIGH SCHOOL241150,EDEN PRAIRIE HIGH SCHOOL,Eden Prairie,MN,Adm,All,7
2054,EDEN PRAIRIE HIGH SCHOOL241150,EDEN PRAIRIE HIGH SCHOOL,Eden Prairie,MN,App,All,19
2055,EDINA HIGH SCHOOL240708,EDINA HIGH SCHOOL,Edina,MN,Adm,Male,3
2056,EDINA HIGH SCHOOL240708,EDINA HIGH SCHOOL,Edina,MN,App,Male,12
2057,EDINA HIGH SCHOOL240708,EDINA HIGH SCHOOL,Edina,MN,App,Female,11
2058,EDINA HIGH SCHOOL240708,EDINA HIGH SCHOOL,Edina,MN,Adm,All,4
2059,EDINA HIGH SCHOOL240708,EDINA HIGH SCHOOL,Edina,MN,App,All,23
2060,EDISON HIGH SCHOOL50980,EDISON HIGH SCHOOL,Fresno,Fresno,Enr,Male,3
2061,EDISON HIGH SCHOOL50980,EDISON HIGH SCHOOL,Fresno,Fresno,Adm,Male,4
2062,EDISON HIGH SCHOOL50980,EDISON HIGH SCHOOL,Fresno,Fresno,App,Male,20
2063,EDISON HIGH SCHOOL50980,EDISON HIGH SCHOOL,Fresno,Fresno,Enr,Female,4
2064,EDISON HIGH SCHOOL50980,EDISON HIGH SCHOOL,Fresno,Fresno,Adm,Female,5
2065,EDISON HIGH SCHOOL50980,EDISON HIGH SCHOOL,Fresno,Fresno,App,Female,33
2066,EDISON HIGH SCHOOL50980,EDISON HIGH SCHOOL,Fresno,Fresno,Enr,All,7
2067,EDISON HIGH SCHOOL50980,EDISON HIGH SCHOOL,Fresno,Fresno,Adm,All,9
2068,EDISON HIGH SCHOOL50980,EDISON HIGH SCHOOL,Fresno,Fresno,App,All,53
2069,EDISON HIGH SCHOOL51218,EDISON HIGH SCHOOL,Huntington Beach,Orange,App,Male,18
2070,EDISON HIGH SCHOOL51218,EDISON HIGH SCHOOL,Huntington Beach,Orange,App,Female,17
2071,EDISON HIGH SCHOOL51218,EDISON HIGH SCHOOL,Huntington Beach,Orange,Adm,All,4
2072,EDISON HIGH SCHOOL51218,EDISON HIGH SCHOOL,Huntington Beach,Orange,App,All,35
2073,EDISON SENIOR HIGH SCHOOL53420,EDISON SENIOR HIGH SCHOOL,Stockton,San Joaquin,App,Male,9
2074,EDISON SENIOR HIGH SCHOOL53420,EDISON SENIOR HIGH SCHOOL,Stockton,San Joaquin,App,Female,13
2075,EDISON SENIOR HIGH SCHOOL53420,EDISON SENIOR HIGH SCHOOL,Stockton,San Joaquin,App,All,22
2076,EDWARD R ROYBAL LEARNING CNTR51862,EDWARD R ROYBAL LEARNING CNTR,Los Angeles,Los Angeles,App,Male,12
2077,EDWARD R ROYBAL LEARNING CNTR51862,EDWARD R ROYBAL LEARNING CNTR,Los Angeles,Los Angeles,App,Female,9
2078,EDWARD R ROYBAL LEARNING CNTR51862,EDWARD R ROYBAL LEARNING CNTR,Los Angeles,Los Angeles,App,All,21
2079,EF ACADEMY334864,EF ACADEMY,Thornwood,NY,App,Male,8
2080,EF ACADEMY334864,EF ACADEMY,Thornwood,NY,App,Female,6
2081,EF ACADEMY334864,EF ACADEMY,Thornwood,NY,App,All,14
2082,EL CAMINO HIGH SCHOOL52248,EL CAMINO HIGH SCHOOL,Oceanside,San Diego,App,Male,16
2083,EL CAMINO HIGH SCHOOL52248,EL CAMINO HIGH SCHOOL,Oceanside,San Diego,Adm,Female,3
2084,EL CAMINO HIGH SCHOOL52248,EL CAMINO HIGH SCHOOL,Oceanside,San Diego,App,Female,20
2085,EL CAMINO HIGH SCHOOL52248,EL CAMINO HIGH SCHOOL,Oceanside,San Diego,Adm,All,3
2086,EL CAMINO HIGH SCHOOL52248,EL CAMINO HIGH SCHOOL,Oceanside,San Diego,App,All,36
2087,EL CAMINO HIGH53413,EL CAMINO HIGH,South San Francisco,San Mateo,App,Male,17
2088,EL CAMINO HIGH53413,EL CAMINO HIGH,South San Francisco,San Mateo,Adm,Female,3
2089,EL CAMINO HIGH53413,EL CAMINO HIGH,South San Francisco,San Mateo,App,Female,22
2090,EL CAMINO HIGH53413,EL CAMINO HIGH,South San Francisco,San Mateo,Adm,All,4
2091,EL CAMINO HIGH53413,EL CAMINO HIGH,South San Francisco,San Mateo,App,All,40
2092,EL CAMINO REAL CHARTER HIGH SC53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,Enr,Male,6
2093,EL CAMINO REAL CHARTER HIGH SC53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,Adm,Male,8
2094,EL CAMINO REAL CHARTER HIGH SC53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,App,Male,54
2095,EL CAMINO REAL CHARTER HIGH SC53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,Enr,Female,4
2096,EL CAMINO REAL CHARTER HIGH SC53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,Adm,Female,5
2097,EL CAMINO REAL CHARTER HIGH SC53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,App,Female,42
2098,EL CAMINO REAL CHARTER HIGH SC53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,Enr,All,10
2099,EL CAMINO REAL CHARTER HIGH SC53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,Adm,All,13
2100,EL CAMINO REAL CHARTER HIGH SC53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,App,All,96
2101,EL CAPITAN HIGH SCHOOL54697,EL CAPITAN HIGH SCHOOL,Merced,Merced,App,Male,16
2102,EL CAPITAN HIGH SCHOOL54697,EL CAPITAN HIGH SCHOOL,Merced,Merced,Adm,Female,3
2103,EL CAPITAN HIGH SCHOOL54697,EL CAPITAN HIGH SCHOOL,Merced,Merced,App,Female,21
2104,EL CAPITAN HIGH SCHOOL54697,EL CAPITAN HIGH SCHOOL,Merced,Merced,Adm,All,4
2105,EL CAPITAN HIGH SCHOOL54697,EL CAPITAN HIGH SCHOOL,Merced,Merced,App,All,37
2106,EL CERRITO HIGH SCHOOL50815,EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,Enr,Male,3
2107,EL CERRITO HIGH SCHOOL50815,EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,Adm,Male,5
2108,EL CERRITO HIGH SCHOOL50815,EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,App,Male,28
2109,EL CERRITO HIGH SCHOOL50815,EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,Enr,Female,9
2110,EL CERRITO HIGH SCHOOL50815,EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,Adm,Female,13
2111,EL CERRITO HIGH SCHOOL50815,EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,App,Female,43
2112,EL CERRITO HIGH SCHOOL50815,EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,Enr,All,12
2113,EL CERRITO HIGH SCHOOL50815,EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,Adm,All,18
2114,EL CERRITO HIGH SCHOOL50815,EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,App,All,73
2115,EL DIAMANTE HIGH SCHOOL53699,EL DIAMANTE HIGH SCHOOL,Visalia,Tulare,Adm,Male,3
2116,EL DIAMANTE HIGH SCHOOL53699,EL DIAMANTE HIGH SCHOOL,Visalia,Tulare,App,Male,11
2117,EL DIAMANTE HIGH SCHOOL53699,EL DIAMANTE HIGH SCHOOL,Visalia,Tulare,App,Female,7
2118,EL DIAMANTE HIGH SCHOOL53699,EL DIAMANTE HIGH SCHOOL,Visalia,Tulare,Enr,All,3
2119,EL DIAMANTE HIGH SCHOOL53699,EL DIAMANTE HIGH SCHOOL,Visalia,Tulare,Adm,All,6
2120,EL DIAMANTE HIGH SCHOOL53699,EL DIAMANTE HIGH SCHOOL,Visalia,Tulare,App,All,19
2121,EL DORADO HIGH SCHOOL52478,EL DORADO HIGH SCHOOL,Placentia,Orange,App,Male,13
2122,EL DORADO HIGH SCHOOL52478,EL DORADO HIGH SCHOOL,Placentia,Orange,Enr,Female,3
2123,EL DORADO HIGH SCHOOL52478,EL DORADO HIGH SCHOOL,Placentia,Orange,Adm,Female,3
2124,EL DORADO HIGH SCHOOL52478,EL DORADO HIGH SCHOOL,Placentia,Orange,App,Female,16
2125,EL DORADO HIGH SCHOOL52478,EL DORADO HIGH SCHOOL,Placentia,Orange,Enr,All,3
2126,EL DORADO HIGH SCHOOL52478,EL DORADO HIGH SCHOOL,Placentia,Orange,Adm,All,4
2127,EL DORADO HIGH SCHOOL52478,EL DORADO HIGH SCHOOL,Placentia,Orange,App,All,29
2128,EL DORADO HIGH SCHOOL442195,EL DORADO HIGH SCHOOL,El Paso,TX,App,Female,5
2129,EL DORADO HIGH SCHOOL442195,EL DORADO HIGH SCHOOL,El Paso,TX,App,All,6
2130,EL MODENA HIGH SCHOOL52276,EL MODENA HIGH SCHOOL,Orange,Orange,App,Male,19
2131,EL MODENA HIGH SCHOOL52276,EL MODENA HIGH SCHOOL,Orange,Orange,Adm,Female,3
2132,EL MODENA HIGH SCHOOL52276,EL MODENA HIGH SCHOOL,Orange,Orange,App,Female,23
2133,EL MODENA HIGH SCHOOL52276,EL MODENA HIGH SCHOOL,Orange,Orange,Adm,All,4
