,Calculation1,School,City,County/State/ Territory,Count,Uad Uc Ethn 6 Cat,Pivot Field Values
1343,CLAREMONT HIGH SCHOOL50590,CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,Enr,All,8
1344,CLAREMONT HIGH SCHOOL50590,CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,Adm,All,22
1345,CLAREMONT HIGH SCHOOL50590,CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,App,All,76
1346,CLARK MAGNET HIGH SCHOOL51301,CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,Enr,White,3
1347,CLARK MAGNET HIGH SCHOOL51301,CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,Adm,White,8
1348,CLARK MAGNET HIGH SCHOOL51301,CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,App,White,29
1349,CLARK MAGNET HIGH SCHOOL51301,CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,App,Asian,10
1350,CLARK MAGNET HIGH SCHOOL51301,CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,Enr,All,4
1351,CLARK MAGNET HIGH SCHOOL51301,CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,Adm,All,10
1352,CLARK MAGNET HIGH SCHOOL51301,CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,App,All,40
1353,CLARKSBURG HIGH SCHOOL210381,CLARKSBURG HIGH SCHOOL,Clarksburg,MD,App,All,5
1354,CLASSICAL ACADEMY HIGH SCHOOL54194,CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,App,White,8
1355,CLASSICAL ACADEMY HIGH SCHOOL54194,CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,Adm,Asian,3
1356,CLASSICAL ACADEMY HIGH SCHOOL54194,CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,App,Asian,7
1357,CLASSICAL ACADEMY HIGH SCHOOL54194,CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,App,Hispanic/ Latino,8
1358,CLASSICAL ACADEMY HIGH SCHOOL54194,CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,Adm,All,4
1359,CLASSICAL ACADEMY HIGH SCHOOL54194,CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,App,All,26
1360,CLAYTON HIGH SCHOOL260645,CLAYTON HIGH SCHOOL,Clayton,MO,Adm,Asian,4
1361,CLAYTON HIGH SCHOOL260645,CLAYTON HIGH SCHOOL,Clayton,MO,App,Asian,9
1362,CLAYTON HIGH SCHOOL260645,CLAYTON HIGH SCHOOL,Clayton,MO,Adm,All,5
1363,CLAYTON HIGH SCHOOL260645,CLAYTON HIGH SCHOOL,Clayton,MO,App,All,15
1364,CLAYTON VALLEY HIGH SCHOOL50658,CLAYTON VALLEY HIGH SCHOOL,Concord,Contra Costa,App,White,18
1365,CLAYTON VALLEY HIGH SCHOOL50658,CLAYTON VALLEY HIGH SCHOOL,Concord,Contra Costa,App,Asian,24
1366,CLAYTON VALLEY HIGH SCHOOL50658,CLAYTON VALLEY HIGH SCHOOL,Concord,Contra Costa,App,Hispanic/ Latino,16
1367,CLAYTON VALLEY HIGH SCHOOL50658,CLAYTON VALLEY HIGH SCHOOL,Concord,Contra Costa,App,African American,8
1368,CLAYTON VALLEY HIGH SCHOOL50658,CLAYTON VALLEY HIGH SCHOOL,Concord,Contra Costa,Adm,All,3
1369,CLAYTON VALLEY HIGH SCHOOL50658,CLAYTON VALLEY HIGH SCHOOL,Concord,Contra Costa,App,All,67
1370,CLEAR LAKE HIGH SCHOOL443361,CLEAR LAKE HIGH SCHOOL,Houston,TX,Adm,Asian,3
1371,CLEAR LAKE HIGH SCHOOL443361,CLEAR LAKE HIGH SCHOOL,Houston,TX,App,Asian,15
1372,CLEAR LAKE HIGH SCHOOL443361,CLEAR LAKE HIGH SCHOOL,Houston,TX,Adm,All,4
1373,CLEAR LAKE HIGH SCHOOL443361,CLEAR LAKE HIGH SCHOOL,Houston,TX,App,All,22
1374,CLEVELAND HIGH SCHOOL52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,Enr,White,5
1375,CLEVELAND HIGH SCHOOL52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,Adm,White,7
1376,CLEVELAND HIGH SCHOOL52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,App,White,29
1377,CLEVELAND HIGH SCHOOL52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,Enr,Asian,4
1378,CLEVELAND HIGH SCHOOL52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,Adm,Asian,11
1379,CLEVELAND HIGH SCHOOL52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,App,Asian,37
1380,CLEVELAND HIGH SCHOOL52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,Adm,Hispanic/ Latino,3
1381,CLEVELAND HIGH SCHOOL52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,App,Hispanic/ Latino,24
1382,CLEVELAND HIGH SCHOOL52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,Enr,All,12
1383,CLEVELAND HIGH SCHOOL52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,Adm,All,22
1384,CLEVELAND HIGH SCHOOL52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,App,All,94
1385,CLEVELAND HIGH SCHOOL380855,CLEVELAND HIGH SCHOOL,Portland,OR,App,White,6
1386,CLEVELAND HIGH SCHOOL380855,CLEVELAND HIGH SCHOOL,Portland,OR,App,All,10
1387,CLEVELAND HIGH SCHOOL481055,CLEVELAND HIGH SCHOOL,Seattle,WA,App,Asian,7
1388,CLEVELAND HIGH SCHOOL481055,CLEVELAND HIGH SCHOOL,Seattle,WA,App,All,9
1389,CLOVIS EAST HIGH SCHOOL50622,CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,App,White,6
1390,CLOVIS EAST HIGH SCHOOL50622,CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,Enr,Asian,3
1391,CLOVIS EAST HIGH SCHOOL50622,CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,Adm,Asian,3
1392,CLOVIS EAST HIGH SCHOOL50622,CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,App,Asian,20
1393,CLOVIS EAST HIGH SCHOOL50622,CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,App,Hispanic/ Latino,5
1394,CLOVIS EAST HIGH SCHOOL50622,CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,Enr,All,4
1395,CLOVIS EAST HIGH SCHOOL50622,CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,Adm,All,5
1396,CLOVIS EAST HIGH SCHOOL50622,CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,App,All,32
1397,CLOVIS HIGH SCHOOL50615,CLOVIS HIGH SCHOOL,Clovis,Fresno,App,White,5
1398,CLOVIS HIGH SCHOOL50615,CLOVIS HIGH SCHOOL,Clovis,Fresno,App,Hispanic/ Latino,6
1399,CLOVIS HIGH SCHOOL50615,CLOVIS HIGH SCHOOL,Clovis,Fresno,Enr,All,4
1400,CLOVIS HIGH SCHOOL50615,CLOVIS HIGH SCHOOL,Clovis,Fresno,Adm,All,6
1401,CLOVIS HIGH SCHOOL50615,CLOVIS HIGH SCHOOL,Clovis,Fresno,App,All,16
1402,CLOVIS NORTH HIGH SCHOOL50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,App,White,12
1403,CLOVIS NORTH HIGH SCHOOL50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,Enr,Asian,4
1404,CLOVIS NORTH HIGH SCHOOL50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,Adm,Asian,14
1405,CLOVIS NORTH HIGH SCHOOL50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,App,Asian,31
1406,CLOVIS NORTH HIGH SCHOOL50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,Adm,Hispanic/ Latino,4
1407,CLOVIS NORTH HIGH SCHOOL50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,App,Hispanic/ Latino,11
1408,CLOVIS NORTH HIGH SCHOOL50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,App,African American,6
1409,CLOVIS NORTH HIGH SCHOOL50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,Enr,All,5
1410,CLOVIS NORTH HIGH SCHOOL50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,Adm,All,21
1411,CLOVIS NORTH HIGH SCHOOL50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,App,All,63
1412,CLOVIS WEST HIGH SCHOOL50982,CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,App,White,7
1413,CLOVIS WEST HIGH SCHOOL50982,CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,Enr,Asian,3
1414,CLOVIS WEST HIGH SCHOOL50982,CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,Adm,Asian,3
1415,CLOVIS WEST HIGH SCHOOL50982,CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,App,Asian,12
1416,CLOVIS WEST HIGH SCHOOL50982,CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,App,Hispanic/ Latino,9
1417,CLOVIS WEST HIGH SCHOOL50982,CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,Enr,All,5
1418,CLOVIS WEST HIGH SCHOOL50982,CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,Adm,All,7
1419,CLOVIS WEST HIGH SCHOOL50982,CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,App,All,32
1420,COLEGIO FRANKLIN D ROOSEVELT940240,COLEGIO FRANKLIN D ROOSEVELT,,,App,Inter- national,7
1421,COLEGIO FRANKLIN D ROOSEVELT940240,COLEGIO FRANKLIN D ROOSEVELT,,,Adm,All,3
1422,COLEGIO FRANKLIN D ROOSEVELT940240,COLEGIO FRANKLIN D ROOSEVELT,,,App,All,12
1423,COLISEUM COLLEGE PREP ACADEMY54412,COLISEUM COLLEGE PREP ACADEMY,Oakland,Alameda,Adm,Hispanic/ Latino,11
1424,COLISEUM COLLEGE PREP ACADEMY54412,COLISEUM COLLEGE PREP ACADEMY,Oakland,Alameda,App,Hispanic/ Latino,23
1425,COLISEUM COLLEGE PREP ACADEMY54412,COLISEUM COLLEGE PREP ACADEMY,Oakland,Alameda,Enr,All,5
1426,COLISEUM COLLEGE PREP ACADEMY54412,COLISEUM COLLEGE PREP ACADEMY,Oakland,Alameda,Adm,All,12
1427,COLISEUM COLLEGE PREP ACADEMY54412,COLISEUM COLLEGE PREP ACADEMY,Oakland,Alameda,App,All,25
1428,COLLEGE LOUISE WEGMANN685482,COLLEGE LOUISE WEGMANN,,,Adm,White,3
1429,COLLEGE LOUISE WEGMANN685482,COLLEGE LOUISE WEGMANN,,,Enr,All,3
1430,COLLEGE LOUISE WEGMANN685482,COLLEGE LOUISE WEGMANN,,,Adm,All,4
1431,COLLEGE PARK HIGH SCHOOL50659,COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa,App,White,21
1432,COLLEGE PARK HIGH SCHOOL50659,COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa,App,Asian,10
1433,COLLEGE PARK HIGH SCHOOL50659,COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa,App,Hispanic/ Latino,12
1434,COLLEGE PARK HIGH SCHOOL50659,COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa,Adm,All,4
1435,COLLEGE PARK HIGH SCHOOL50659,COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa,App,All,48
1436,COLLEGE PREPARATORY SCHOOL52192,COLLEGE PREPARATORY SCHOOL,Oakland,Alameda,App,Domestic Unknown,8
1437,COLLEGE PREPARATORY SCHOOL52192,COLLEGE PREPARATORY SCHOOL,Oakland,Alameda,App,White,15
1438,COLLEGE PREPARATORY SCHOOL52192,COLLEGE PREPARATORY SCHOOL,Oakland,Alameda,Adm,Asian,3
1439,COLLEGE PREPARATORY SCHOOL52192,COLLEGE PREPARATORY SCHOOL,Oakland,Alameda,App,Asian,17
1440,COLLEGE PREPARATORY SCHOOL52192,COLLEGE PREPARATORY SCHOOL,Oakland,Alameda,App,Hispanic/ Latino,6
1441,COLLEGE PREPARATORY SCHOOL52192,COLLEGE PREPARATORY SCHOOL,Oakland,Alameda,App,African American,5
1442,COLLEGE PREPARATORY SCHOOL52192,COLLEGE PREPARATORY SCHOOL,Oakland,Alameda,Enr,All,3
1443,COLLEGE PREPARATORY SCHOOL52192,COLLEGE PREPARATORY SCHOOL,Oakland,Alameda,Adm,All,9
1444,COLLEGE PREPARATORY SCHOOL52192,COLLEGE PREPARATORY SCHOOL,Oakland,Alameda,App,All,51
1445,COLLEGIATE CHARTER HS OF LA54845,COLLEGIATE CHARTER HS OF LA,Los Angeles,Los Angeles,App,All,6
1446,COLLIERVILLE HIGH SCHOOL430410,COLLIERVILLE HIGH SCHOOL,Collierville,TN,App,All,6
1447,COLLINGWOOD SCHOOL821749,COLLINGWOOD SCHOOL,,,Adm,All,5
1448,COLLINGWOOD SCHOOL821749,COLLINGWOOD SCHOOL,,,App,All,18
1449,COLONEL BY SECONDARY SCHOOL826433,COLONEL BY SECONDARY SCHOOL,,,App,Inter- national,7
1450,COLONEL BY SECONDARY SCHOOL826433,COLONEL BY SECONDARY SCHOOL,,,Adm,All,4
1451,COLONEL BY SECONDARY SCHOOL826433,COLONEL BY SECONDARY SCHOOL,,,App,All,8
1452,COLORADO ACADEMY60393,COLORADO ACADEMY,Denver,CO,App,White,5
1453,COLORADO ACADEMY60393,COLORADO ACADEMY,Denver,CO,App,All,10
1454,COLTON HIGH SCHOOL50640,COLTON HIGH SCHOOL,Colton,San Bernardino,App,Hispanic/ Latino,9
1455,COLTON HIGH SCHOOL50640,COLTON HIGH SCHOOL,Colton,San Bernardino,App,All,10
1456,COLUMBIA HIGH SCHOOL310750,COLUMBIA HIGH SCHOOL,Maplewood,NJ,App,White,6
1457,COLUMBIA HIGH SCHOOL310750,COLUMBIA HIGH SCHOOL,Maplewood,NJ,App,All,11
1458,COMMUNITY HIGH SCHOOL230084,COMMUNITY HIGH SCHOOL,Ann Arbor,MI,App,White,6
1459,COMMUNITY HIGH SCHOOL230084,COMMUNITY HIGH SCHOOL,Ann Arbor,MI,App,All,8
1460,COMPTON EARLY COLLEGE54865,COMPTON EARLY COLLEGE,Compton,Los Angeles,App,Hispanic/ Latino,16
1461,COMPTON EARLY COLLEGE54865,COMPTON EARLY COLLEGE,Compton,Los Angeles,Adm,All,3
1462,COMPTON EARLY COLLEGE54865,COMPTON EARLY COLLEGE,Compton,Los Angeles,App,All,19
1463,CONARD HIGH SCHOOL70887,CONARD HIGH SCHOOL,West Hartford,CT,App,All,5
1464,CONCORDIA INTER SCHOOL SHANGHA694220,CONCORDIA INTER SCHOOL SHANGHA,,,App,Inter- national,7
1465,CONCORDIA INTER SCHOOL SHANGHA694220,CONCORDIA INTER SCHOOL SHANGHA,,,App,All,12
1466,CONCORDIAN INTERNATIONAL SCH695519,CONCORDIAN INTERNATIONAL SCH,,,App,All,8
1467,CONESTOGA HIGH SCHOOL390295,CONESTOGA HIGH SCHOOL,Berwyn,PA,App,White,8
1468,CONESTOGA HIGH SCHOOL390295,CONESTOGA HIGH SCHOOL,Berwyn,PA,Adm,Asian,3
1469,CONESTOGA HIGH SCHOOL390295,CONESTOGA HIGH SCHOOL,Berwyn,PA,App,Asian,12
1470,CONESTOGA HIGH SCHOOL390295,CONESTOGA HIGH SCHOOL,Berwyn,PA,Adm,All,5
1471,CONESTOGA HIGH SCHOOL390295,CONESTOGA HIGH SCHOOL,Berwyn,PA,App,All,23
1472,CONNECTING WATERS CHARTER SCH53706,CONNECTING WATERS CHARTER SCH,Waterford,Stanislaus,App,All,5
1473,COPPELL HIGH SCHOOL441485,COPPELL HIGH SCHOOL,Coppell,TX,Adm,Asian,11
1474,COPPELL HIGH SCHOOL441485,COPPELL HIGH SCHOOL,Coppell,TX,App,Asian,47
1475,COPPELL HIGH SCHOOL441485,COPPELL HIGH SCHOOL,Coppell,TX,Adm,All,12
1476,COPPELL HIGH SCHOOL441485,COPPELL HIGH SCHOOL,Coppell,TX,App,All,55
1477,CORNER CANYON HIGH SCHOOL450073,CORNER CANYON HIGH SCHOOL,Draper,UT,Adm,All,3
1478,CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,App,Domestic Unknown,5
1479,CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,Enr,White,6
1480,CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,Adm,White,19
1481,CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,App,White,63
1482,CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,Enr,Asian,3
1483,CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,Adm,Asian,6
1484,CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,App,Asian,22
1485,CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,App,Hispanic/ Latino,11
1486,CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,Enr,All,9
1487,CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,Adm,All,28
1488,CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,App,All,105
1489,CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,Enr,White,3
1490,CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,Adm,White,4
1491,CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,App,White,29
1492,CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,App,Asian,6
1493,CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,Adm,Hispanic/ Latino,3
1494,CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,App,Hispanic/ Latino,8
1495,CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,App,American Indian,5
1496,CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,Enr,All,4
1497,CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,Adm,All,10
1498,CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,App,All,53
1499,CORONADO HIGH SCHOOL290069,CORONADO HIGH SCHOOL,Henderson,NV,App,White,10
1500,CORONADO HIGH SCHOOL290069,CORONADO HIGH SCHOOL,Henderson,NV,App,Asian,10
1501,CORONADO HIGH SCHOOL290069,CORONADO HIGH SCHOOL,Henderson,NV,Adm,All,3
1502,CORONADO HIGH SCHOOL290069,CORONADO HIGH SCHOOL,Henderson,NV,App,All,26
1503,COSTA MESA HIGH SCHOOL50683,COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,App,Hispanic/ Latino,7
1504,COSTA MESA HIGH SCHOOL50683,COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,Enr,All,3
1505,COSTA MESA HIGH SCHOOL50683,COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,Adm,All,4
1506,COSTA MESA HIGH SCHOOL50683,COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,App,All,12
1507,COSUMNES OAKS HIGH SCHOOL54204,COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,Enr,Domestic Unknown,3
1508,COSUMNES OAKS HIGH SCHOOL54204,COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,Adm,Domestic Unknown,3
1509,COSUMNES OAKS HIGH SCHOOL54204,COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,App,White,9
1510,COSUMNES OAKS HIGH SCHOOL54204,COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,Enr,Asian,5
1511,COSUMNES OAKS HIGH SCHOOL54204,COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,Adm,Asian,8
1512,COSUMNES OAKS HIGH SCHOOL54204,COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,App,Asian,32
1513,COSUMNES OAKS HIGH SCHOOL54204,COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,App,Hispanic/ Latino,9
1514,COSUMNES OAKS HIGH SCHOOL54204,COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,Enr,All,11
1515,COSUMNES OAKS HIGH SCHOOL54204,COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,Adm,All,15
1516,COSUMNES OAKS HIGH SCHOOL54204,COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,App,All,59
1517,COTTER HIGH SCHOOL242720,COTTER HIGH SCHOOL,Winona,MN,App,All,5
1518,COVINA HIGH SCHOOL50700,COVINA HIGH SCHOOL,Covina,Los Angeles,App,Asian,6
1519,COVINA HIGH SCHOOL50700,COVINA HIGH SCHOOL,Covina,Los Angeles,App,Hispanic/ Latino,7
1520,COVINA HIGH SCHOOL50700,COVINA HIGH SCHOOL,Covina,Los Angeles,Adm,All,3
1521,COVINA HIGH SCHOOL50700,COVINA HIGH SCHOOL,Covina,Los Angeles,App,All,16
1522,CRANBROOK KINGSWOOD SCHOOL230355,CRANBROOK KINGSWOOD SCHOOL,Bloomfield Hills,MI,Adm,Inter- national,3
1523,CRANBROOK KINGSWOOD SCHOOL230355,CRANBROOK KINGSWOOD SCHOOL,Bloomfield Hills,MI,App,Inter- national,16
1524,CRANBROOK KINGSWOOD SCHOOL230355,CRANBROOK KINGSWOOD SCHOOL,Bloomfield Hills,MI,App,White,5
1525,CRANBROOK KINGSWOOD SCHOOL230355,CRANBROOK KINGSWOOD SCHOOL,Bloomfield Hills,MI,App,Asian,11
1526,CRANBROOK KINGSWOOD SCHOOL230355,CRANBROOK KINGSWOOD SCHOOL,Bloomfield Hills,MI,Enr,All,3
1527,CRANBROOK KINGSWOOD SCHOOL230355,CRANBROOK KINGSWOOD SCHOOL,Bloomfield Hills,MI,Adm,All,6
1528,CRANBROOK KINGSWOOD SCHOOL230355,CRANBROOK KINGSWOOD SCHOOL,Bloomfield Hills,MI,App,All,36
1529,CRAWFORD HIGH SCHOOL54630,CRAWFORD HIGH SCHOOL,San Diego,San Diego,App,Asian,6
1530,CRAWFORD HIGH SCHOOL54630,CRAWFORD HIGH SCHOOL,San Diego,San Diego,App,African American,7
1531,CRAWFORD HIGH SCHOOL54630,CRAWFORD HIGH SCHOOL,San Diego,San Diego,Adm,All,4
1532,CRAWFORD HIGH SCHOOL54630,CRAWFORD HIGH SCHOOL,San Diego,San Diego,App,All,15
1533,CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,Enr,Inter- national,3
1534,CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,Adm,Inter- national,5
1535,CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,App,Inter- national,29
1536,CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,Enr,White,3
1537,CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,Adm,White,4
1538,CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,App,White,8
1539,CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,Enr,Asian,5
1540,CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,Adm,Asian,11
1541,CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,App,Asian,30
1542,CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,Enr,All,11
1543,CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,Adm,All,21
1544,CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,App,All,70
1545,CRENSHAW HIGH SCHOOL51569,CRENSHAW HIGH SCHOOL,Los Angeles,Los Angeles,App,African American,10
1546,CRENSHAW HIGH SCHOOL51569,CRENSHAW HIGH SCHOOL,Los Angeles,Los Angeles,App,All,11
1547,CRESCENTA VALLEY HIGH SCHOOL51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,Enr,White,4
1548,CRESCENTA VALLEY HIGH SCHOOL51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,Adm,White,9
1549,CRESCENTA VALLEY HIGH SCHOOL51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,App,White,45
1550,CRESCENTA VALLEY HIGH SCHOOL51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,Enr,Asian,13
1551,CRESCENTA VALLEY HIGH SCHOOL51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,Adm,Asian,23
1552,CRESCENTA VALLEY HIGH SCHOOL51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,App,Asian,70
1553,CRESCENTA VALLEY HIGH SCHOOL51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,App,Hispanic/ Latino,8
1554,CRESCENTA VALLEY HIGH SCHOOL51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,Enr,All,20
1555,CRESCENTA VALLEY HIGH SCHOOL51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,Adm,All,35
1556,CRESCENTA VALLEY HIGH SCHOOL51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,App,All,134
1557,CRESPI CARMELITE HIGH SCHOOL50867,CRESPI CARMELITE HIGH SCHOOL,Encino,Los Angeles,App,White,7
1558,CRESPI CARMELITE HIGH SCHOOL50867,CRESPI CARMELITE HIGH SCHOOL,Encino,Los Angeles,App,Hispanic/ Latino,5
1559,CRESPI CARMELITE HIGH SCHOOL50867,CRESPI CARMELITE HIGH SCHOOL,Encino,Los Angeles,Adm,All,3
1560,CRESPI CARMELITE HIGH SCHOOL50867,CRESPI CARMELITE HIGH SCHOOL,Encino,Los Angeles,App,All,16
1561,CRISTO REY HS-SACRAMENTO54211,CRISTO REY HS-SACRAMENTO,Sacramento,Sacramento,App,Hispanic/ Latino,9
1562,CRISTO REY HS-SACRAMENTO54211,CRISTO REY HS-SACRAMENTO,Sacramento,Sacramento,App,All,10
1563,CRISTO REY SAN JOSE JESUIT HS54860,CRISTO REY SAN JOSE JESUIT HS,San Jose,Santa Clara,App,Hispanic/ Latino,11
